FIPS,State_Name,State_Abbr,Latitude,Longitude,pop2022,percent_of_US,density_pe_Mi_square,GrowthRate,Growth,Land_Area,Rank_by_pop
1,Alabama,AL,32.318231,-86.902298,5073187,0.01510213,100.65438,0.00482,24454,50645,24
2,Alaska,AK,63.588753,-154.493062,738023,0.002193308,1.29738,0.00314,2316,570641,48
4,Arizona,AZ,34.048928,-111.093731,7303398,0.021861846,64.96246,0.0104,75948,113594,14
5,Arkansas,AR,35.20105,-91.831833,3030646,0.009006833,58.42619,0.00315,9561,52035,33
6,California,CA,36.778261,-119.417932,39995077,0.119165038,258.20877,0.00571,228427,155779,1
8,Colorado,CO,39.550051,-105.782067,5922618,0.017766753,57.86332,0.01257,74452,103642,20
9,Connecticut,CT,41.603221,-73.087749,3612314,0.010711177,746.69537,0.00088,3185,4842,29
10,Delaware,DE,38.910832,-75.52767,1008350,0.003014568,522.08876,0.00912,9201,1949,45
12,Florida,FL,27.664827,-81.515754,22085563,0.066240897,416.95573,0.01239,273688,53625,3
13,Georgia,GA,32.157435,-82.907123,10916760,0.032645135,191.5947,0.00938,102426,57513,8
15,Hawaii,HI,19.898682,-155.665857,1474265,0.004395752,231.00763,0.00644,9497,6423,40
16,Idaho,ID,44.068202,-114.742041,1893410,0.005689804,23.23926,0.01434,27152,82643,38
17,Illinois,IL,40.633125,-89.398528,12808884,0.037941877,230.67908,-0.00014,-1812,55519,6
18,Indiana,IN,40.551217,-85.602364,6845874,0.020370786,191.92896,0.00441,30173,35826,17
19,Iowa,IA,41.878003,-93.097702,3219171,0.009579691,57.89018,0.00447,14401,55857,31
20,Kansas,KS,39.011902,-98.484246,2954832,0.008779014,36.24443,0.00287,8476,81759,34
21,Kentucky,KY,37.839333,-84.270018,4539130,0.013496819,115.37702,0.00367,16647,39486,26
22,Louisiana,LA,31.244823,-92.145024,4682633,0.013909487,108.67214,0.00266,12438,43204,25
23,Maine,ME,45.253783,-69.445469,1369159,0.004066305,44.50148,0.00248,3400,30843,42
24,Maryland,MD,39.045755,-76.641271,6257958,0.018659243,648.84362,0.00645,40367,9707,18
25,Massachusetts,MA,42.407211,-71.382437,7126375,0.021255283,919.82103,0.00677,48229,7800,15
26,Michigan,MI,44.314844,-85.602364,10116069,0.030026968,179.26454,0.00191,19369,56539,10
27,Minnesota,MN,46.729553,-94.6859,5787008,0.017263694,73.18202,0.00696,40257,79627,22
28,Mississippi,MS,32.354668,-89.398528,2960075,0.008767653,63.07084,-0.0002,-602,46923,35
29,Missouri,MO,37.964253,-91.831833,6188111,0.018381902,90.26083,0.00268,16599,68742,19
30,Montana,MT,46.879682,-110.362566,1103187,0.003296359,7.64479,0.00859,9481,145546,43
31,Nebraska,NE,41.492537,-99.901813,1988536,0.005931224,26.06024,0.0068,13516,76824,37
32,Nevada,NV,38.80261,-116.419389,3185426,0.00955676,29.38425,0.01268,40406,109781,32
33,New Hampshire,NH,43.193852,-71.572395,1389741,0.004135298,155.9083,0.00439,6106,8953,41
34,New Jersey,NJ,40.058324,-74.405661,9388414,0.027961125,1283.40005,0.00529,49710,7354,11
35,New Mexico,NM,34.97273,-105.032363,2129190,0.006325163,17.60148,0.00274,5834,121298,36
36,New York,NY,43.299428,-74.217933,20365879,0.060579253,433.90472,0.00404,82315,47126,4
37,North Carolina,NC,35.759573,-79.0193,10620168,0.031730802,220.30026,0.00851,90390,48618,9
38,North Dakota,ND,47.551493,-101.002012,800394,0.002402776,11.75409,0.01331,10650,69001,47
39,Ohio,OH,40.417287,-82.907123,11852036,0.035190411,290.70091,0.00222,26294,40861,7
40,Oklahoma,OK,35.007752,-97.092877,4000953,0.011914734,58.63041,0.0052,20800,68595,28
41,Oregon,OR,43.804133,-120.554201,4318492,0.012914178,45.41307,0.00941,40618,95988,27
42,Pennsylvania,PA,41.203322,-77.194525,13062764,0.038788355,292.62222,0.0023,30032,44743,5
44,Rhode Island,RI,41.580095,-71.477429,1106341,0.00329089,1074.29594,0.00405,4481,1034,44
45,South Carolina,SC,33.836081,-81.163725,5217037,0.015601922,175.18855,0.00945,49306,30061,23
46,South Dakota,SD,43.969515,-99.901813,901165,0.002691242,11.98261,0.00804,7249,75811,46
47,Tennessee,TN,35.517491,-86.580447,7023788,0.020975788,171.70515,0.00804,56474,41235,16
48,Texas,TX,31.968599,-99.901813,29945493,0.089900699,116.16298,0.01336,399994,261232,2
49,Utah,UT,39.32098,-111.093731,3373162,0.010143655,41.66892,0.01505,50773,82170,30
50,Vermont,VT,44.558803,-72.577841,646545,0.001920573,70.33514,0.00268,1734,9217,49
51,Virginia,VA,37.431573,-78.656894,8757467,0.026131381,223.36045,0.0072,63037,39490,12
53,Washington,WA,47.751074,-120.740139,7901429,0.023699106,120.37292,0.01241,98074,66456,13
54,West Virginia,WV,38.597626,-80.454903,1781860,0.005261327,73.88019,-0.00333,-5928,24038,39
55,Wisconsin,WI,43.78444,-88.787868,5935064,0.017644301,109.96966,0.00348,20673,54158,21
56,Wyoming,WY,43.075968,-107.290284,579495,0.001720712,5.98207,0.00228,1322,97093,50
